f10,f02,f07,f18,f15,f21,Month,f12,f06,f04,f19,f05,f20,f16,f09,f17,f14,f03,f08,f11,f01,f13,label
0,0.0,-0.3321,1.9114,1.5849,2,May,0,-0.8584,3,0,0,0.6,324.0,0.0,0.2,24,13,6,0.104166667,0.0,0.131944444,0
0,0.0,-0.4373,0.5436,-0.0694,2,Nov,0,-0.9266,2,0,0,0.0,46.5,0.0,0.2,2,1,3,0.1,0.0,0.1,0
0,0.0,-1.7285,0.3582,-0.0024,2,Nov,0,1.056,2,2,1,0.0,3339.07598,0.0,0.0324,109,8,4,0.008181818,1494.5,0.014582448,0
0,0.0,-0.1103,-0.807,-0.3304,4,Nov,0,-0.5922,2,0,0,0.0,157.5,0.0,0.075,4,2,9,0.0,0.0,0.05,0
0,0.0,2.6435,0.1067,0.4885,2,Nov,0,1.7494,1,0,1,0.0,2174.708333,0.0,0.0273,58,1,1,0.004022989,0.0,0.015229885,1
0,0.0,-0.3401,1.1379,0.7853,2,May,0,-0.1244,2,0,0,0.0,628.0,0.0,0.0533,14,3,4,0.014285714,0.0,0.042857143,0
0,0.0,-1.2076,-0.6628,-0.2776,4,May,0,-0.217,2,0,0,0.6,697.1666667,0.0,0.0278,12,6,2,0.0,0.0,0.016666667,0
1,0.0,-0.0911,-0.0381,-0.093,2,Dec,0,-0.5987,2,0,0,0.0,242.5833333,0.0,0.0364,10,2,7,0.0,0.0,0.026666667,0
0,0.0,0.8539,-1.0797,-0.86,1,May,2,-0.1982,1,1,1,0.0,1033.066667,156.0,0.0102,14,3,6,0.0125,201.0,0.012291667,0
1,0.0,0.1932,-1.3604,-1.339,2,Dec,4,-0.3214,3,0,1,0.0,56.5,207.5,0.05,2,2,2,0.0,0.0,0.02,0
0,0.0,-0.0027,0.0451,0.5644,2,May,0,-1.6751,2,0,0,0.2,37.0,0.0,0.15,2,3,6,0.0,0.0,0.1,0
0,0.0,-1.4092,-0.418,-0.1034,2,May,0,0.2338,2,0,0,0.6,267.5,0.0,0.0289,20,13,1,0.022222222,0.0,0.028888889,0
0,0.0,0.501,-0.3811,-0.623,1,Dec,0,0.4603,1,4,1,0.0,997.2878788,0.0,0.0126,23,2,3,0.012,620.25,0.031897436,0
0,82.4326349,0.4857,-1.2594,-1.0595,1,Dec,6,-0.219,1,0,1,0.0,1021.2,276.0,0.016,24,1,3,0.014285714,0.0,0.022619048,0
0,0.0,1.3413,2.1678,1.5311,2,Mar,0,0.2414,3,0,0,0.0,244.5,0.0,0.0247,9,3,1,0.0,0.0,0.011111111,0
0,3.012181822,2.4891,1.0162,0.977,2,Nov,9,1.1549,3,0,0,0.0,7750.537279,188.5638298,0.2,199,13,4,0.007911051,0.0,0.021772308,1
0,0.0,0.6886,0.695,1.2314,2,Nov,6,0.3093,2,2,1,0.0,3708.383949,60.13636364,0.0197,83,2,7,0.002420052,522.1666667,0.012547833,0
0,0.0,-1.6424,1.2764,0.5532,2,Nov,1,0.6583,3,0,0,0.0,1038.791667,20.0,0.0271,30,2,1,0.006666667,0.0,0.026666667,0
0,0.0,-1.4354,0.1358,0.1876,1,Nov,0,-3.327,4,0,0,0.0,0.0,0.0,0.0069,1,3,3,0.2,0.0,0.2,0
0,0.0,-1.098,0.3994,1.2052,2,May,0,-0.423,2,0,0,0.0,283.0,0.0,0.0208,3,4,3,0.066666667,0.0,0.133333333,0
0,0.0,0.2949,-0.3212,0.0009,2,May,3,2.6273,2,1,1,0.0,13259.29396,270.0,0.05,362,19,1,0.002883379,1778.0,0.008837606,0
0,0.0,0.2128,-1.1957,-0.3083,2,Nov,0,-1.2681,2,0,0,0.0,97.0,0.0,0.0427,8,2,3,0.0,0.0,0.025,1
0,0.0,1.3095,-0.6408,0.0772,5,May,0,0.3573,2,1,1,0.0,2053.933333,0.0,0.0905,43,3,6,0.012878788,25.0,0.039015152,0
0,0.0,0.2439,0.3856,0.4775,2,Mar,0,-3.1949,2,0,0,0.0,0.0,0.0,0.0978,1,1,2,0.2,0.0,0.2,0
0,22.93531071,0.3648,1.794,1.6785,1,May,2,0.5096,1,6,0,0.6,526.0281385,48.83333333,0.0129,22,2,1,0.032142857,370.875,0.032738095,0
0,0.0,0.7505,0.824,0.6524,2,Mar,0,1.0658,3,1,0,0.0,1547.5,0.0,0.0083,27,1,1,0.003703704,24.0,0.014814815,0
0,12.59766667,1.3402,-0.3109,0.0854,1,May,2,0.1315,4,0,1,0.0,1880.966667,15.0,0.0444,38,4,1,0.003703704,0.0,0.023809524,1
0,26.93792373,-1.4106,-1.5157,-1.2216,2,May,4,0.4413,2,1,0,0.0,1828.774603,116.0,0.0207,59,6,7,0.003874092,8.0,0.023361582,0
0,0.0,2.4519,-0.2874,-0.3881,2,Dec,0,-0.2788,1,0,1,0.0,192.75,0.0,0.0036,10,1,3,0.033333333,0.0,0.028888889,0
0,0.0,1.463,0.4782,0.6895,1,Mar,0,0.5915,1,1,0,0.0,645.9166667,0.0,0.0167,12,2,1,0.0,0.0,0.05,0
0,0.0,1.5231,0.0944,-0.1076,1,May,0,-1.205,1,0,0,0.0,98.33333333,0.0,0.0043,7,3,1,0.028571429,0.0,0.032653061,0
0,0.0,-0.7475,0.4312,0.2994,2,May,0,-0.6949,2,0,1,0.0,304.1666667,0.0,0.0333,15,3,1,0.0,0.0,0.04,0
0,0.0,-1.8475,0.1858,1.0165,2,Nov,0,0.612,2,6,0,0.0,733.2871212,0.0,0.055,27,2,7,0.02020202,521.9791667,0.031564383,0
0,2.815539375,-1.5066,-0.6283,-1.1857,2,Nov,9,1.082,2,0,0,0.0,2625.185014,140.875,0.0667,95,1,4,0.003,0.0,0.027077656,0
0,30.66624113,-0.0535,1.307,0.3668,2,May,9,0.506,1,0,0,0.0,895.9731685,174.475,0.15,43,2,6,0.0,0.0,0.009929078,1
0,0.0,0.8821,-0.7714,-1.8631,2,May,2,0.8082,2,2,0,0.0,2130.025,96.0,0.0906,53,4,3,0.0,18.0,0.010061728,0
0,0.0,1.9003,-0.5098,-0.9677,2,Nov,0,0.472,2,0,0,0.0,318.75,0.0,0.0148,16,1,7,0.0,0.0,0.004166667,1
0,0.0,1.4584,0.746,0.4978,2,Mar,0,0.3143,3,0,0,0.0,203.0,0.0,0.0023,10,3,2,0.0,0.0,0.026666667,0
0,101.3721739,3.1424,0.6248,0.6596,1,May,2,-0.3378,1,0,1,0.0,639.5,100.0,0.0042,22,4,1,0.0,0.0,0.008695652,1
0,0.0,0.5209,-0.5171,-0.6203,2,May,0,-0.2998,3,0,0,0.0,62.0,0.0,0.0,6,3,2,0.133333333,0.0,0.166666667,0
0,0.0,0.3546,0.8876,0.141,2,May,0,-0.2015,2,0,0,0.0,894.0,0.0,0.1,15,4,7,0.0,0.0,0.015384615,0
0,21.74053053,-0.363,1.3073,1.0017,1,Nov,2,0.7502,1,1,1,0.0,1991.822567,49.7,0.0105,64,2,1,0.014830918,0.0,0.022398206,0
0,41.64625944,0.6635,1.1476,1.0578,2,Dec,2,1.1164,2,4,0,0.0,1372.975,1668.5,0.08,18,6,1,0.0,35.0,0.017391304,1
0,0.0,-1.1578,-0.1318,0.5785,1,Nov,4,1.2059,1,0,0,0.0,2007.522619,122.25,0.0082,45,2,4,0.013043478,0.0,0.018657031,0
0,0.0,0.5108,0.3206,0.9725,1,May,0,-0.3278,1,0,1,0.0,363.3,0.0,0.0333,14,2,6,0.019047619,0.0,0.045986395,0
0,0.0,0.3182,-0.2423,0.2147,1,May,0,-0.1753,4,0,0,0.4,195.6666667,0.0,0.0017,23,3,1,0.05,0.0,0.086363636,0
1,0.0,-0.4052,-0.8418,-0.8151,4,May,1,0.569,2,0,0,0.6,643.875,8.0,0.0402,28,2,1,0.0,0.0,0.003571429,0
0,0.0,-0.8106,0.9904,1.0813,2,Mar,0,-2.8674,2,0,0,0.0,0.0,0.0,0.1,1,6,2,0.0,0.0,0.1,0
0,0.0,0.457,0.0965,-0.2876,1,June,0,0.8456,1,0,0,0.0,1083.75163,0.0,0.0617,36,2,3,0.006666667,0.0,0.011684359,0
0,0.0,1.3062,-1.2019,-0.7997,2,May,0,-3.2234,2,0,0,0.0,0.0,0.0,0.0074,1,4,6,0.2,0.0,0.2,0
0,68.85704348,1.0815,1.3317,-0.0224,2,May,3,0.8403,2,0,0,0.0,327.2666667,30.25,0.1,21,3,1,0.017391304,0.0,0.02826087,1
0,0.0,0.2838,-0.1391,0.0836,2,May,0,-0.4661,2,0,0,0.0,342.5,0.0,0.0367,14,4,8,0.0,0.0,0.021428571,0
0,0.0,-0.5482,-0.4884,-0.8705,2,Mar,5,0.5894,3,0,1,0.0,758.1444444,97.5,0.0606,24,1,2,0.04,0.0,0.059846154,0
0,0.0,-0.2485,-1.1917,-0.7036,2,May,1,-0.2184,2,0,1,0.0,314.8333333,39.0,0.0182,18,4,7,0.0,0.0,0.005882353,0
0,0.0,-0.3165,-0.7248,-1.0079,2,Mar,2,-0.4011,2,0,1,0.0,363.6666667,11.0,0.05,20,3,1,0.01,0.0,0.016666667,0
0,0.0,-0.2851,-0.3764,-0.4956,2,Dec,0,1.3031,3,0,0,0.0,723.0,0.0,0.013,23,13,2,0.015873016,0.0,0.026077098,0
0,0.0,-0.5972,-0.4056,-0.2937,1,Dec,9,0.4665,1,2,1,0.0,2904.922294,183.3,0.019,45,8,1,0.0,34.0,0.011870748,0
0,79.182,1.3964,-1.4045,-1.8116,4,May,1,-0.0045,2,0,0,0.0,467.0,9.0,0.1333,11,1,1,0.0,0.0,0.02,1
0,0.0,1.2997,-0.3222,-0.3872,2,May,0,0.7153,2,0,1,0.0,880.0,0.0,0.0094,4,1,7,0.0,0.0,0.05,0
0,0.0,-0.9472,1.0436,0.7841,2,Dec,2,0.8509,3,0,0,0.0,396.1666667,48.5,0.0054,5,10,5,0.0,0.0,0.008333333,0
0,0.0,1.3992,1.2012,0.7784,2,May,0,-1.0919,2,0,0,0.8,268.5,0.0,0.0182,9,6,1,0.055555556,0.0,0.1,0
0,0.0,-0.403,-1.1057,-0.9374,1,Nov,3,0.6574,1,1,0,0.0,3009.0875,315.3333333,0.0182,42,1,1,0.004021164,141.5,0.0323655,0
0,5.698711043,-0.3671,0.2485,-0.1128,2,Nov,5,0.8573,2,0,0,0.0,3488.070803,100.9166667,0.0398,114,2,3,8.14e-05,0.0,0.022685492,0
0,0.0,-2.1565,-0.7555,-0.4198,1,Mar,0,-0.0045,4,0,1,0.0,1112.0,0.0,0.0076,44,3,4,0.0,0.0,0.006818182,0
0,0.0,-2.4215,-0.0818,-0.3402,2,Nov,0,0.8572,2,4,1,0.0,5286.208333,0.0,0.0037,96,1,1,0.011,117.25,0.024119048,0
0,62.16886364,0.7355,0.1341,0.6655,2,Mar,5,0.1687,3,3,0,0.0,1142.816919,79.33333333,0.0133,17,2,6,0.006818182,242.0555556,0.018519814,0
0,32.0201901,-0.0911,-1.5208,-1.6188,5,Nov,5,0.7674,2,2,0,0.0,1195.583333,68.0,0.0073,32,2,3,0.01981982,9.0,0.036486486,1
0,0.0,0.8053,-0.8604,0.2575,2,Mar,12,-0.5595,1,0,0,0.0,634.1666667,765.6666667,0.0889,7,2,3,0.015384615,0.0,0.015384615,0
0,0.0,0.0506,0.3941,0.2792,2,Dec,0,1.6207,2,0,0,0.0,1931.512121,0.0,0.1083,65,2,3,0.0,0.0,0.025128205,0
0,0.0,0.2505,-1.4916,-0.3346,2,Nov,0,-0.1173,4,0,0,0.0,145.04,0.0,0.0117,10,1,4,0.0,0.0,0.023333333,0
0,0.0,1.3333,-0.7131,-0.9714,1,May,0,0.3711,1,0,1,0.0,480.3,0.0,0.03,16,4,4,0.0125,0.0,0.033333333,0
0,0.0,-0.0724,-0.3612,-0.1289,1,Mar,0,-0.7425,1,0,0,0.0,82.0,0.0,0.0222,5,1,3,0.1,0.0,0.146666667,0
1,0.0,-3.2661,0.3957,0.0343,2,Dec,2,0.0766,2,0,0,0.0,200.0,13.0,0.1,3,8,1,0.0,0.0,0.05,0
0,0.0,-1.7386,-0.4912,-0.0841,2,Mar,3,1.35,2,5,0,0.0,3230.25,1226.0,0.0095,24,2,1,0.036190476,3.0,0.096,0
0,0.0,0.9726,0.2101,0.0353,2,Nov,0,0.3747,2,0,0,0.0,251.0,0.0,0.0323,4,3,4,0.05,0.0,0.1,0
0,20.0031,2.9967,0.3982,0.9865,2,May,2,0.429,2,0,0,0.0,813.1,44.33333333,0.04,19,2,1,0.0,0.0,0.01,1
2,0.0,-0.096,-0.5575,-0.7178,13,Dec,6,-0.3709,8,0,0,0.0,845.75,224.875,0.0519,21,20,9,0.0,0.0,0.008695652,0
1,0.0,-0.7022,-1.7847,-1.8918,2,Nov,1,-0.0234,3,0,1,0.0,1277.842857,14.5,0.0111,24,2,1,0.0,0.0,0.016073781,0
0,0.0,-1.3922,-0.465,-0.9234,1,May,0,0.1978,4,0,0,0.0,280.5,0.0,0.2,16,3,1,0.0,0.0,0.0125,0
0,8.604391304,0.5461,-0.3643,0.1987,3,May,6,0.7421,3,0,0,0.0,1634.095238,162.5,0.0224,39,2,5,0.0,0.0,0.011111111,0
0,0.0,-1.7979,-1.7395,-1.8194,2,Mar,2,-0.4237,2,0,0,0.0,181.5,20.0,0.0143,13,1,1,0.0,0.0,0.013333333,0
0,0.0,-1.2458,-1.3043,-0.992,4,Nov,0,0.5637,2,0,0,0.0,948.3428571,0.0,0.08,25,3,1,0.0,0.0,0.009,0
0,0.0,0.1359,-1.1663,-0.7674,1,May,1,-2.9008,1,0,1,0.0,0.0,0.0,0.0129,1,2,1,0.2,0.0,0.2,0
0,0.0,0.1019,1.4291,1.1893,2,Dec,0,-0.7839,3,0,0,0.0,140.25,0.0,0.08,8,13,2,0.121428571,0.0,0.14375,0
0,0.0,-0.2588,-1.0785,-1.2397,2,Nov,0,0.2769,3,0,1,0.0,1445.840909,0.0,0.0194,40,8,6,0.003827751,0.0,0.032192982,0
0,5.932009013,2.0634,1.75,0.9046,2,Nov,9,0.7756,3,1,0,0.0,3346.501984,183.7857143,0.0025,95,2,2,0.00211827,90.0,0.018655904,1
0,0.0,-1.2434,0.7462,0.5839,2,Nov,2,1.3304,3,3,0,0.0,4214.779822,262.6666667,0.2,127,3,1,0.008396947,112.0,0.018035252,0
0,0.0,-1.1908,2.1275,1.0055,4,May,1,0.7524,2,2,0,0.4,557.4047619,0.0,0.0208,28,3,3,0.013793103,29.0,0.034154351,0
0,0.0,-0.4184,1.0082,0.4488,2,Nov,0,0.4843,3,0,0,0.0,819.5892857,0.0,0.0075,29,3,1,0.003448276,0.0,0.025448823,0
0,7.570470024,0.0651,2.202,2.1162,10,Nov,1,-0.5905,2,1,0,0.0,1068.357692,32.3,0.05,51,2,2,0.01372549,26.5,0.043697479,0
0,0.0,-0.3378,-0.4343,-0.416,2,Nov,2,-0.668,3,0,1,0.0,877.6666667,32.83333333,0.0333,16,6,6,0.004166667,0.0,0.020208333,0
0,0.0,1.9927,-0.4886,-0.4417,1,Mar,1,-2.7593,4,0,0,0.0,0.0,4.0,0.0022,0,6,8,0.0,0.0,0.066666667,0
0,0.0,-0.6039,1.9698,1.8558,1,Dec,5,2.008,1,0,0,0.0,4374.416667,222.75,0.0037,31,1,2,0.011764706,0.0,0.025098039,0
0,0.0,0.6353,-0.8994,-0.9227,2,Nov,2,0.4495,3,0,1,0.0,656.7681818,7.0,0.0122,56,1,1,0.0,0.0,0.006941639,0
1,0.0,-0.5864,0.0022,0.1834,1,Nov,0,-0.1063,1,0,1,0.0,161.25,0.0,0.0144,4,2,3,0.0,0.0,0.05,0
0,0.0,0.3207,1.2096,1.5732,2,May,0,-3.4718,2,0,0,0.0,0.0,0.0,0.0351,2,13,6,0.2,0.0,0.2,0
0,0.0,-0.4429,0.7843,1.7121,2,Dec,11,0.8784,3,7,1,0.0,1352.833333,225.5,0.01,40,2,1,0.002,258.25,0.015733333,0
0,20.37964966,-0.393,0.2562,-0.1364,1,May,2,0.7449,1,5,0,0.0,2080.75,115.0,0.0452,21,2,1,0.011904762,151.6666667,0.045192308,0
0,0.0,1.6237,-1.7444,-1.6686,1,Nov,0,-0.4561,1,0,0,0.0,63.5,0.0,0.025,2,3,1,0.0,0.0,0.1,0
1,0.0,-0.337,0.1546,-0.113,1,Dec,0,-1.0306,1,0,0,0.0,39.5,0.0,0.0173,3,8,9,0.0,0.0,0.033333333,0
0,0.0,1.7171,0.121,0.6559,1,Dec,0,-0.4642,8,0,1,0.0,247.0,0.0,0.0,12,1,3,0.0,0.0,0.016666667,0
0,0.0,-0.7395,0.3247,0.1053,1,Nov,0,-0.0289,1,0,0,0.0,52.5,0.0,0.0058,3,2,9,0.0,0.0,0.083333333,0
1,20.26155684,-0.4688,-0.6004,-0.3471,4,Mar,1,0.7985,2,0,0,0.0,638.8333333,26.0,0.05,16,2,2,0.0,0.0,0.0125,0
0,50.66498303,1.1094,-0.3974,-0.1047,1,Mar,3,0.284,4,0,0,0.0,465.4166667,23.0,0.1,30,3,4,0.0,0.0,0.009375,0
0,34.99166667,-1.4797,-0.2023,0.7959,2,May,10,0.5359,2,0,1,0.0,785.474359,295.6940559,0.0647,29,4,5,0.0,0.0,0.001481481,1
0,0.0,-1.6739,1.8287,0.6516,1,May,0,0.1388,1,0,0,0.8,646.7916667,0.0,0.0238,13,1,2,0.005128205,0.0,0.054358974,0
1,38.00063931,1.018,1.1465,1.7248,2,Nov,0,0.0961,2,0,0,0.0,1197.700198,0.0,0.0257,87,2,1,0.0,0.0,0.002352941,1
0,0.0,0.4769,0.0265,1.0439,2,Mar,0,0.2937,3,0,0,0.0,473.6833333,0.0,0.0105,24,1,3,0.008333333,0.0,0.00952381,0
0,0.0,0.5729,0.824,1.0145,2,Mar,0,-0.2643,2,0,0,0.0,116.3333333,0.0,0.0354,9,1,1,0.0,0.0,0.066666667,0
1,0.0,-0.326,-0.7439,-1.5139,2,Dec,0,-0.2165,3,0,1,0.0,315.0,0.0,0.0356,11,2,6,0.0,0.0,0.036363636,0
0,0.0,-1.4453,-1.4466,-1.2412,10,May,0,-1.3295,2,0,0,0.0,104.0,0.0,0.0153,4,2,2,0.0,0.0,0.05,0
0,0.0,0.8344,-0.1094,-0.7779,2,Nov,7,1.0225,2,0,0,0.0,1889.953409,98.17261905,0.2,47,1,1,0.014814815,0.0,0.028251029,0
0,120.587914,0.4463,0.988,0.7615,2,Nov,0,0.4205,3,0,0,0.0,954.0833333,0.0,0.0105,25,13,1,0.034722222,0.0,0.061527778,0
0,32.382,-0.1414,1.1886,0.7799,2,May,0,-0.4859,2,0,0,0.0,338.5,0.0,0.0162,10,1,2,0.0,0.0,0.02,1
0,0.0,0.0862,-0.939,-0.453,2,Mar,0,0.602,2,0,0,0.0,727.5,0.0,0.0296,24,1,3,0.0,0.0,0.016666667,0
0,0.0,1.8212,-0.4057,-0.9934,2,Mar,0,0.4131,2,0,0,0.0,672.5,0.0,0.0113,5,1,1,0.0,0.0,0.04,0
0,0.0,0.1238,-0.7145,-1.0225,2,Dec,0,0.0605,2,0,0,0.0,166.0,0.0,0.1143,6,3,1,0.0,0.0,0.033333333,0
0,0.0,-1.2031,0.3033,1.3407,5,Nov,0,0.0526,2,0,0,0.0,225.5,0.0,0.0713,11,11,4,0.018181818,0.0,0.054545455,0
0,0.0,-0.433,-0.1369,-0.5159,5,Mar,3,-0.4716,2,0,0,0.0,314.0,35.0,0.0173,16,2,7,0.0,0.0,0.052631579,0
0,0.0,-0.3744,1.319,0.6235,2,May,0,0.374,2,0,0,0.4,688.6666667,0.0,0.0292,19,4,6,0.042105263,0.0,0.052631579,0
0,0.0,0.3438,2.0953,1.8038,2,Nov,0,-0.2135,2,0,0,0.0,167.8333333,0.0,0.0149,8,2,1,0.0,0.0,0.05,0
2,0.0,0.9137,0.8995,0.8914,13,Dec,0,-3.0057,8,0,0,0.0,0.0,0.0,0.0222,1,20,9,0.2,0.0,0.2,0
1,24.2865,0.0498,0.5903,0.3851,5,May,2,1.1288,2,0,1,0.0,443.0,70.0,0.2,18,4,5,0.0,0.0,0.02,1
0,20.82613173,0.3369,-1.9678,-1.6624,5,Nov,0,0.1353,2,0,1,0.0,593.7019802,0.0,0.0214,20,5,2,0.0,0.0,0.005364455,1
0,0.0,1.0307,0.4312,0.9054,2,May,0,0.8858,2,0,1,0.0,1131.315476,0.0,0.1167,29,6,2,0.021428571,0.0,0.046071429,0
0,0.0,0.7474,0.3821,0.5703,2,May,0,0.4323,3,0,1,0.0,200.0,0.0,0.0026,5,4,1,0.0,0.0,0.05,0
0,4.465398354,1.3728,-0.2932,-0.5792,4,Mar,13,0.4724,2,0,0,0.0,1182.106162,214.8823529,0.05,41,2,3,0.0,0.0,0.018485839,0
0,0.0,-1.486,-0.6721,-0.3226,2,Mar,0,-0.401,3,0,0,0.0,151.5,0.0,0.0182,4,1,1,0.0,0.0,0.05,0
0,0.0,-0.9749,1.8481,2.085,2,Dec,0,-2.5389,2,0,0,0.0,0.0,0.0,0.0368,2,13,1,0.2,0.0,0.2,0
0,0.0,1.0176,0.5471,0.79,4,Nov,0,-1.4099,2,0,0,0.0,94.0,0.0,0.0273,2,8,2,0.0,0.0,0.1,0
1,0.0,0.031,-0.4243,0.1257,1,Nov,6,-0.4682,1,0,0,0.0,94.6,124.2,0.0123,5,5,2,0.0,0.0,0.022222222,1
0,0.0,0.326,-0.8786,-0.8187,1,May,0,0.0318,1,0,0,0.0,614.3333333,0.0,0.08,15,15,1,0.007692308,0.0,0.025641026,0
1,0.0,-0.0587,2.0107,1.7785,2,Dec,2,0.1804,2,0,0,0.0,393.5,67.5,0.035,7,2,1,0.0,0.0,0.025,0
0,0.0,-0.7625,2.0726,2.1019,2,Nov,3,0.3765,2,0,0,0.0,2431.242995,30.5,0.0146,79,6,2,0.0,0.0,0.005590278,0
0,0.0,1.4869,0.1875,0.2457,1,Mar,3,1.4319,4,0,0,0.0,2502.816667,33.0,0.06,67,10,1,0.006060606,0.0,0.011147186,0
0,0.0,-0.0185,0.415,0.1931,2,Mar,8,0.2469,2,2,0,0.0,721.0,160.5,0.0118,26,1,1,0.0,1467.0,0.031029186,0
0,0.0,-0.5194,1.2597,0.9719,2,Mar,0,-2.4517,3,0,0,0.0,0.0,0.0,0.2,1,1,7,0.2,0.0,0.2,0
0,0.0,0.8339,-0.0915,-0.5164,1,June,3,-0.3114,1,0,1,0.0,86.6,72.4,0.0538,3,3,7,0.0,0.0,0.033333333,1
0,0.0,0.2487,-0.3562,0.4132,4,Mar,0,0.7078,2,0,1,0.0,429.6333333,0.0,0.0053,19,3,1,0.0,0.0,0.005263158,0
0,0.0,-1.606,-0.0361,0.0675,1,May,8,1.5067,1,0,0,0.0,5883.040509,274.5,0.0077,129,2,6,0.003076923,0.0,0.008735669,0
0,0.0,-0.8824,0.5098,0.6224,1,May,9,-0.4213,1,2,0,0.0,401.95,118.0,0.0133,16,3,1,0.004761905,10.0,0.013015873,0
1,0.0,-1.3064,-0.0028,0.5753,2,May,4,1.115,2,0,0,0.0,1873.166667,90.5,0.023,37,2,5,0.0,0.0,0.005555556,0
0,12.0921619,-1.1444,-0.9332,-1.1032,2,Mar,10,0.8321,2,4,0,0.0,4163.797619,382.8333333,0.0035,72,2,6,0.000297619,319.3,0.010912698,1
0,0.0,0.9906,-0.5702,-0.3637,2,Mar,5,1.2994,3,4,0,0.0,776.0190476,156.2690476,0.0156,35,2,4,0.0,90.0,0.005714286,0
0,0.0,1.4555,-2.3908,-2.0849,2,Nov,6,-0.1699,3,0,0,0.0,941.672619,1922.0,0.04,30,1,2,0.018181818,0.0,0.044444444,0
0,0.0,1.2063,-0.5339,-0.4517,5,Mar,2,-0.0505,2,0,0,0.0,353.1666667,24.5,0.0281,22,3,1,0.018181818,0.0,0.031818182,0
0,0.0,-1.8055,0.9067,0.4934,1,June,0,-0.8179,1,0,1,0.0,145.9,0.0,0.022,9,3,2,0.022222222,0.0,0.074074074,0
0,2.992267778,0.4021,0.9029,1.0588,2,May,14,0.7485,2,0,1,1.0,5432.836783,375.2785714,0.1,156,1,6,0.010009921,0.0,0.029074729,0
0,18.71641694,0.6875,0.4779,0.4232,2,Dec,1,-0.1438,2,2,0,0.0,516.5,54.5,0.008,14,1,3,0.017647059,132.5,0.043137255,0
1,0.0,-0.584,1.0067,0.8196,2,May,0,-1.0451,2,0,0,0.0,78.66666667,0.0,0.0135,6,4,5,0.0,0.0,0.033333333,0
0,0.0,0.8272,-0.4772,-0.4845,2,May,3,1.0701,2,0,0,0.0,2819.966667,61.0,0.04,79,13,1,0.006097561,0.0,0.024390244,0
1,0.0,-1.1395,-0.4041,-0.6472,2,Nov,4,0.2679,3,0,1,0.0,217.6,96.4,0.0143,10,2,2,0.0,0.0,0.0,0
0,0.0,-1.0971,0.044,0.1128,2,May,7,0.531,3,0,0,0.0,1249.628205,397.8333333,0.0095,28,6,7,0.0,0.0,0.015053763,0
0,0.0,-0.8519,-1.3563,-1.5439,4,Nov,0,0.442,2,0,0,0.0,719.5833333,0.0,0.0333,9,2,4,0.022222222,0.0,0.055555556,0
0,8.126193548,0.262,-0.8975,-0.873,2,May,4,0.8587,2,0,0,0.0,3096.375,165.0,0.0212,59,2,1,0.007526882,0.0,0.019247312,1
0,109.5876,-0.0298,0.4875,0.2255,2,May,3,-1.1498,2,0,1,0.0,1911.333333,54.0,0.0098,50,6,7,0.004,0.0,0.013,1
